
Processing CalculateEfficincy.C...
Particle             :    Eff 4pi  /  Eff accept /   Eff KFPF  /      Ghost  /     BackGr  /    N Ghost  /   N BackGr  /     N Reco  /    N Clone  |   N MC 4pi  | N MC accept |  N MC KFPF 
KShort               :      0.404  /     -1.000  /      0.706  /      0.041  /      0.064  /         63  /         98  /       1378  /          2  |       3411  |          0  |       1952
KShort         Prim  :      0.439  /     -1.000  /      0.695  /      0.000  /      0.000  /          0  /          0  /        414  /          0  |        944  |          0  |        596
KShort         Sec   :      0.391  /     -1.000  /      0.711  /      0.000  /      0.000  /          0  /          0  /        964  /          2  |       2467  |          0  |       1356
Lambda               :      0.335  /     -1.000  /      0.720  /      0.112  /      0.261  /        645  /       1499  /       3590  /          2  |      10725  |          0  |       4983
Lambda         Prim  :      0.368  /     -1.000  /      0.653  /      0.000  /      0.000  /          0  /          0  /        338  /          1  |        918  |          0  |        518
Lambda         Sec   :      0.332  /     -1.000  /      0.728  /      0.000  /      0.000  /          0  /          0  /       3252  /          1  |       9807  |          0  |       4465
Lambda b             :      0.332  /     -1.000  /      0.706  /      0.069  /      0.108  /        251  /        391  /       2988  /          2  |       8997  |          0  |       4234
Lambda b       Prim  :      0.355  /     -1.000  /      0.653  /      0.000  /      0.000  /          0  /          0  /        333  /          0  |        937  |          0  |        510
Lambda b       Sec   :      0.329  /     -1.000  /      0.713  /      0.000  /      0.000  /          0  /          0  /       2655  /          2  |       8060  |          0  |       3724
Xi-                  :      0.165  /     -1.000  /      0.499  /      0.010  /      0.010  /          5  /          5  /        469  /          1  |       2836  |          0  |        940
Xi-            Prim  :      0.160  /     -1.000  /      0.466  /      0.000  /      0.000  /          0  /          0  /         90  /          0  |        563  |          0  |        193
Xi-            Sec   :      0.167  /     -1.000  /      0.507  /      0.000  /      0.000  /          0  /          0  /        379  /          1  |       2273  |          0  |        747
Xi+                  :      0.155  /     -1.000  /      0.502  /      0.000  /      0.000  /          0  /          0  /        433  /          0  |       2795  |          0  |        863
Xi+            Prim  :      0.152  /     -1.000  /      0.526  /      0.000  /      0.000  /          0  /          0  /         82  /          0  |        541  |          0  |        156
Xi+            Sec   :      0.156  /     -1.000  /      0.496  /      0.000  /      0.000  /          0  /          0  /        351  /          0  |       2254  |          0  |        707
Xi0                  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         10  |          0  |          0
Xi0            Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          9  |          0  |          0
Xi0            Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
Xi0 b                :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          5  |          0  |          0
Xi0 b          Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          5  |          0  |          0
Xi0 b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Omega-               :      0.211  /     -1.000  /      0.524  /      0.000  /      0.000  /          0  /          0  /        196  /          0  |        930  |          0  |        374
Omega-         Prim  :      0.197  /     -1.000  /      0.500  /      0.000  /      0.000  /          0  /          0  /        110  /          0  |        557  |          0  |        220
Omega-         Sec   :      0.231  /     -1.000  /      0.558  /      0.000  /      0.000  /          0  /          0  /         86  /          0  |        373  |          0  |        154
Omega+               :      0.183  /     -1.000  /      0.465  /      0.000  /      0.000  /          0  /          0  /        166  /          0  |        905  |          0  |        357
Omega+         Prim  :      0.188  /     -1.000  /      0.468  /      0.000  /      0.000  /          0  /          0  /        102  /          0  |        544  |          0  |        218
Omega+         Sec   :      0.177  /     -1.000  /      0.460  /      0.000  /      0.000  /          0  /          0  /         64  /          0  |        361  |          0  |        139
Sigma0               :      0.000  /     -1.000  /     -1.000  /      1.000  /      0.000  /          1  /          0  /          0  /          0  |         68  |          0  |          0
Sigma0         Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         66  |          0  |          0
Sigma0         Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          2  |          0  |          0
Sigma0 b             :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         76  |          0  |          0
Sigma0 b       Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         76  |          0  |          0
Sigma0 b       Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma+               :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          9  |          0  |          0
Sigma+         Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          9  |          0  |          0
Sigma+         Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
Sigma- b             :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         14  |          0  |          0
Sigma- b       Prim  :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |         13  |          0  |          0
Sigma- b       Sec   :      0.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          1  |          0  |          0
K*0                  :      0.623  /     -1.000  /      0.887  /      0.004  /      0.517  /          5  /        609  /        565  /         10  |        907  |          0  |        637
K*0            Prim  :      0.623  /     -1.000  /      0.887  /      0.000  /      0.000  /          0  /          0  /        565  /         10  |        907  |          0  |        637
K*0            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*0 b                :      0.639  /     -1.000  /      0.878  /      0.001  /      0.503  /          1  /        585  /        578  /         10  |        904  |          0  |        658
K*0 b          Prim  :      0.639  /     -1.000  /      0.878  /      0.000  /      0.000  /          0  /          0  /        578  /         10  |        904  |          0  |        658
K*0 b          Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*+                  :      0.288  /     -1.000  /      0.557  /      0.006  /      0.098  /          1  /         17  /        156  /          3  |        541  |          0  |        280
K*+            Prim  :      0.288  /     -1.000  /      0.557  /      0.000  /      0.000  /          0  /          0  /        156  /          3  |        541  |          0  |        280
K*+            Sec   :     -1.000  /     -1.000  /     -1.000  /     -1.000  /     -1.000  /          0  /          0  /          0  /          0  |          0  |          0  |          0
K*-                  :      0.279  /     -1.000  /      0.543  /      0.022  /      0.100  /          4  /         18  /        158  /          2  |        567  |          0  |        291
K*-            Prim  :      0.279  /     -1.000  /      0.543  /      0.000  /      0.000  /          0  /          0  /        158  /          2  |        567  |          0  |        291
